iri,prefix,vocabulary,tier,kind,label,definition,types,parents,domain,range,status,deprecated,source
http://www.w3.org/ns/adms#supportedSchema,adms,ADMS,2,property,supported schema,"A schema according to which the Asset Repository can provide data about its content, e.g. ADMS.",owl:ObjectProperty,,rdfs:Resource,<http://www.w3.org/ns/adms#Asset>,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#translation,adms,ADMS,2,property,translation,Links Assets that are translations of each other.,owl:ObjectProperty,,rdfs:Resource,rdfs:Resource,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/ns/adms#versionNotes,adms,ADMS,2,property,version notes,A description of changes between this version and the previous version of the Asset.,owl:DatatypeProperty,,rdfs:Resource,rdfs:Literal,,,https://www.w3.org/ns/adms.ttl
http://www.w3.org/2004/02/skos/core#Collection,skos,SKOS,1,class,Collection,A meaningful collection of concepts.,owl:Class,,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#Concept,skos,SKOS,1,class,Concept,An idea or notion; a unit of thought.,owl:Class,,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#ConceptScheme,skos,SKOS,1,class,Concept Scheme,"A set of concepts, optionally including statements about semantic relationships between those concepts.",owl:Class,,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#OrderedCollection,skos,SKOS,1,class,Ordered Collection,"An ordered collection of concepts, where both the grouping and the ordering are meaningful.",owl:Class,skos:Collection,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#altLabel,skos,SKOS,1,property,alternative label,An alternative lexical label for a resource.,owl:AnnotationProperty; rdf:Property,rdfs:label,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#broadMatch,skos,SKOS,1,property,has broader match,skos:broadMatch is used to state a hierarchical mapping link between two conceptual resources in different concept schemes.,owl:ObjectProperty; rdf:Property,skos:broader; skos:mappingRelation,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#broader,skos,SKOS,1,property,has broader,Relates a concept to a concept that is more general in meaning.,owl:ObjectProperty; rdf:Property,skos:broaderTransitive,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#broaderTransitive,skos,SKOS,1,property,has broader transitive,skos:broaderTransitive is a transitive superproperty of skos:broader.,owl:ObjectProperty; owl:TransitiveProperty; rdf:Property,skos:semanticRelation,,,,,http://www.w3.org/2004/02/skos/core.rdf
http://www.w3.org/2004/02/skos/core#changeNote,skos,SKOS,1,property,change note,A note about a modification to a concept.,owl:AnnotationProperty; rdf:Property,skos:note,,,,,http://www.w3.org/2004/02/skos/core.rdf
